1;1;7896011484242;;1;1;1;DOCE MARRON GLACE LIGHT SOFRUTA 300G;1;0;;;          ;;;;;7;7896011484242;;22051000;0,00;8002;102;0;0;0;          ;;;0,00;0,00;0,00;;
2;1;2;;1;4;1;FACA PEIXEIRA TRAMONTINA N 5;1;0;1;;07/05/2015;;2B;;;9;2;;82119100;0,00;428;102;0;0;0;          ;;;0,00;0,00;0,00;T;
4;1;7891261035305;;1;11;1;SAND.  IPANEMA TAZ AZULC REFLEX 31/2;6;0;;;16/09/2005;;7891261035;;;7;7891261035305;;64022000;0,00;6150;102;0;0;0;          ;;;0,00;0,00;0,00;;
5;1;7897903000175;;1;10;1;BARBANTE SAO JOAO ALGODAO 800G;1;0;;;          ;;;;;9;7897903000175;;01013000;0,00;12641;102;0;0;0;          ;;;0,00;0,00;0,00;;
6;1;7896066130033;;1;10;1;LAPIS COR LABRA 12 CORES;1;0;;;          ;;;;;9;7896066130033;;96091000;0,00;9000;102;0;0;0;          ;;;0,00;0,00;0,00;;
7;1;7893694058418;;1;6;1;CREME PENTEAR KANECHOMM MANT. KARITE;1;0;;;          ;;;;;9;7893694058418;;16023290;0,00;7031;102;0;0;0;          ;;;0,00;0,00;0,00;;
8;1;7896046704001;;1;6;1;TINTA BIGEN PO PRETO SUAVE 57;1;0;;;          ;;;;;7;7896046704001;;33059000;0,00;8739;102;0;0;0;          ;;;0,00;0,00;0,00;;
9;1;7896572010072;;1;10;1;CANETINHA.COMP. NEOPEN  6 CORES;3;0;1;;09/07/2011;R;7896572010;;;9;7896572010072;;96082000;0,00;11418;102;0;0;0;          ;;;0,00;0,00;0,00;T;
10;1;7896480621513;;1;1;1;GELATINA MAITA LIGHT ABACAXI;1;0;1;;11/06/2015;R;;;;9;;;96020010;0,00;10871;102;0;0;0;          ;;;0,00;0,00;0,00;T;
11;1;7896480621841;;1;1;1;GELATINA MAITA LIGHT UVA;1;0;1;;11/06/2015;R;;;;9;;;96020010;0,00;10874;102;0;0;0;          ;;;0,00;0,00;0,00;T;
12;1;7898043430679;;1;7;1;MATA BICHEIRA PURINA AEROSOL 500ML;1;0;;;28/12/2007;R;7898043430;;;9;7898043430679;;21032090;0,00;12906;102;0;0;0;          ;;;0,00;0,00;0,00;;
13;1;3014260279004;;1;5;1;ESCOVA ORAL B INFANTIL;1;0;;;19/02/2008;R;3014260279;;;7;3014260279004;;96032100;0,00;550;102;0;0;0;          ;;;0,00;0,00;0,00;;
14;1;7891115006178;;1;4;1;GARRAFA D  AGUA 1LT;1;0;;;          ;;;;;9;7891115006178;;96170010;0,00;5202;102;0;0;0;          ;;;0,00;0,00;0,00;;
15;1;7891115002002;;1;4;1;JARRA PLASVALE 2LTS;1;0;;;          ;;;;;9;7891115002002;;16024100;0,00;5196;102;0;0;0;          ;;;0,00;0,00;0,00;;
16;1;7898282670010;;1;4;1;PRATO DESC. PLASTICO N21;1;0;;;          ;;;;;9;7898282670010;;48236000;0,00;13739;102;0;0;0;          ;;;0,00;0,00;0,00;;
17;1;7891325005091;;1;4;1;RALO FUCA ALUMINIO C/ 4 FACES;1;0;1;;23/01/2015;;;;;9;7891325005091;;28111940;10,00;6394;102;0;0;0;          ;;;0,00;0,00;0,00;T;
18;1;7896102200331;;1;6;1;TINTA SANTO ANTONIO N  5;1;0;1;;19/03/2014;;;;;7;7896102200331;;33059000;0,00;9563;102;0;0;0;          ;;;0,00;0,00;0,00;T;
19;1;7896102200324;;1;6;1;TINTA SANTO ANTONIO N  4;1;0;1;;07/07/2017;;;;;7;7896102200324;;33059000;0,00;9562;102;0;0;0;          ;;;0,00;0,00;0,00;T;
20;1;7896934401678;;1;10;1;CADERNO AMARELO 48 FLS;1;0;;;          ;;;;;9;7896934401678;;48202000;0,00;11921;102;0;0;0;          ;;;0,00;0,00;0,00;;
21;1;7896934401685;;1;10;1;CADERNO VERDE 48 FLS;1;0;;;          ;;;;;9;7896934401685;;48202000;0,00;11922;102;0;0;0;          ;;;0,00;0,00;0,00;;
22;1;7896934401715;;1;10;1;CADERNO AMARELO 96 FLS;1;0;;;          ;;;;;9;7896934401715;;48202000;0,00;11924;102;0;0;0;          ;;;0,00;0,00;0,00;;
23;1;7896934401722;;1;10;1;CADERNO VERDE 96 FLS;1;0;;;          ;;;;;9;7896934401722;;48202000;0,00;11925;102;0;0;0;          ;;;0,00;0,00;0,00;;
24;1;7896013505471;;1;6;1;CREME ALIZANTE HAIRLIFE;1;0;1;;25/04/2018;R;;;;9;7896013505471;;15152910;3,00;8078;102;0;0;0;          ;;;0,00;0,00;0,00;T;
25;1;4748635;;1;6;1;DESODORANTE CLEARGEL;1;0;;;          ;;;;;7;4748635;;33072090;0,00;784;102;0;0;0;          ;;;0,00;0,00;0,00;;
26;1;7891182017114;;1;6;1;ESMALTE RISQUE BERINGELA;1;0;;;          ;;;;;9;7891182017114;;33043000;0,00;5734;102;0;0;0;          ;;;0,00;0,00;0,00;;
27;1;7891182011891;;1;6;1;ESMALTE RISQUE METAL TAROT;1;0;;;          ;;;;;9;7891182011891;;33043000;0,00;5716;102;0;0;0;          ;;;0,00;0,00;0,00;;
28;1;7898147771012;;1;4;1;PANELA DE PRESSAO PANELUX 3LTS;1;0;1;;14/09/2018;R;;;;1;;;96039099;1,00;13316;102;0;0;0;          ;;;0,00;0,00;0,00;T;
